,Borough,Neighborhood,ID,Name
235,Queens,Briarwood,4bacf6b1f964a520cc1e3be3,Feng's Garden
236,Queens,Jamaica Center,5aef90f3b9b37b002ceb20d4,Panda Express
237,Queens,Jamaica Center,4ce49482e571a09332bc8587,Sagar Chinese
238,Queens,Jamaica Center,4c90ffc5238c6dcbb754bc55,Peking Kitchen
239,Queens,Oakland Gardens,4b0ae7a3f964a520c92923e3,Empire Garden
240,Queens,Oakland Gardens,5a2b366193bd636532b50bdb,Little Dumpling
241,Queens,Oakland Gardens,4d88d7371508a1431e08011e,China Grill
242,Queens,Oakland Gardens,4e5e5fa6aeb78833bb8b5dc8,덕향
243,Queens,Queens Village,52951e3d11d22599a056c587,The Hibiscus Restaurant & Lounge II
244,Queens,Hollis,4e4dfb24bd4101d0d79f8cf5,New Ho Wah
245,Queens,South Jamaica,4e4e3de4bd4101d0d7a5bc16,Hong Kong Kitchen
246,Queens,Rochdale,4ea312218b81a02f89dcdc67,New Ming Garden
247,Queens,Rochdale,4cc203c938aaa093d1860362,Success Chinese Resturant
248,Queens,Springfield Gardens,4cc203c938aaa093d1860362,Success Chinese Resturant
249,Queens,Cambria Heights,4c6efa6ed7fab1f73b055ac9,Kam's Kitchen
250,Queens,Rosedale,4cf2e1107bf3b60c9320687f,Win Chinese Store
251,Queens,Far Rockaway,4e4e41e8bd4101d0d7a620e0,Magic Wok
252,Queens,Far Rockaway,4eb9c26046906fa3574d411f,Lucky Cornaga
253,Queens,Far Rockaway,4c369b8a3849c928d56cbcb1,Six Happy Chinese Restaurant
254,Queens,Broad Channel,4de6e9acae60db140a896bd3,Wok ' n' Roll
255,Queens,Steinway,51d81d9e5019b8b339258089,Xing Chef
256,Queens,Bay Terrace,4b2bcee2f964a52061bb24e3,Baybridge Szechuan Cuisine
257,Queens,Bay Terrace,4e8343b977c8a6f998997db7,Happy Group
258,Queens,Bay Terrace,4f3246d319836c91c7c7bf46,Szechuan Chinese Restaurant
259,Queens,Edgemere,4e4e41cdbd4101d0d7a61ddb,Golden Lee Chinese Restaurant
260,Queens,Edgemere,4e4e41d2bd4101d0d7a61e59,Xing Xing Chinese Restaurant
261,Queens,Neponsit,4c02eb2e39d476b0e9652fa7,East Meets West
262,Queens,Floral Park,4c801dd02f1c236ab8c62343,Great Wall
263,Queens,Floral Park,4cb337c21463a143efe7b2a9,Jian On
264,Queens,Holliswood,4b8601a1f964a5203f7d31e3,Hong Kong Restaurant
265,Queens,Holliswood,4e4e3e1fbd4101d0d7a5c27a,China House
266,Queens,Holliswood,4c20ec904889a5932f262720,Halal Chinese Kitchen
267,Queens,Holliswood,4e4dfb24bd4101d0d79f8cf5,New Ho Wah
268,Queens,Jamaica Estates,4ce49482e571a09332bc8587,Sagar Chinese
269,Queens,Jamaica Estates,4b54a474f964a5205ac427e3,Foo On Restaurant
270,Queens,Jamaica Estates,4f32982919836c91c7e70a30,Number One Chinese Restaurant
271,Queens,Queensboro Hill,4ac90140f964a520f7bd20e3,Main Street Taiwanese Gourmet 北港台菜
